,项目名称,中标金额（元）,中标单位名称,招标人,监督部门,招标代理,时间
0,望城区第一中学改扩建及高裕九年一贯制学校场地平整整合项目施工,10546215.39,湖南新康建设集团有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-03-23 15:13:41
1,宁乡高新金锂公租房（人才公寓）建设设计施工总承包（第二次）,433225200.0,湖南楚湘建设工程集团有限公司/湖南大学设计研究院有限公司,宁乡同创建设开发有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2020-03-23 14:01:40
2,合欢路（和润园三期-松柏路）和松柏路（桥头小学-红枫路）道路工程施工,25039831.26,湖南星大建设集团有限公司,：长沙麓谷建设发展有限公司,长沙高新技术产业开发区建设工程招标投标管理办公室,/,时间：2020-03-23 13:45:40
3,长沙市开福区公共卫生服务大楼装饰装修工程施工,公示期2020年3月19日至2020年3月24日。,湖南洪山建设集团有限公司,长沙开福城市建设投资有限公司,长沙市开福区招投标管理办公室,/,时间：2020-03-23 13:38:45
4,长沙市星城新宇•东升家园建设项目设计施工总承包（复评）中标候选人补充公示,573197706.79,湖南省第五工程有限公司/湖南大学设计研究院有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区住房和城乡建设局,/,时间：2020-03-23 13:30:40
5,宁乡市沙河片区开发综合配套金亭路（滨江大道-宁韶公路）建设项目（复评）,5554223.79,湖南轩达项目管理有限公司,宁乡市国资投资控股集团有限公司,宁乡市建设工程招标投标事务中心,/,时间：2020-03-23 13:25:41
6,浏阳市沙市镇文光中学新建教学楼项目,5571218.96,湖南首建项目管理有限公司,浏阳市公共工程建设中心,浏阳市发展和改革局,/,时间：2020-03-19 17:20:40
7,宁乡高新区云起实验小学建设设计施工总承包,83309370.0,五矿二十三冶建设集团有限公司/湖南建设集团有限公司,长沙恩吉实业投资有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2020-03-18 16:43:42
8,曙光电子集团有限公司办公楼、食堂装修改造工程总承包（EPC）,782.08万,湖南北山建设集团股份有限公司（联合体牵头人）、长沙市规划设计院有限责任公司（联合体成员）,曙光电子集团有限公司,长沙高新区招投标管理办公室,/,时间：2020-03-17 11:27:47
9,长沙市星城新宇•东升家园建设项目设计施工总承包（复评）,573197706.79,湖南省第五工程有限公司/湖南大学设计研究院有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区住房和城乡建设局,/,时间：2020-03-16 09:50:59
10,湖南长沙数据机房土建工程及室外工程施工项目,145711021.91,湖南东方红建设集团有限公司,中国移动通信集团湖南有限公司,长沙高新技术产业开发区建设工程招标投标管理办公室,/,时间：2020-03-15 20:15:48
