,项目名称,中标金额（万元）,中标单位名称,招标人,监督部门,招标代理
0,深国际长沙综合物流港项目一期工程W2、W7物流仓库施工,15652.6815,湖南建工集团有限公司,长沙深国际综合物流港发展有限公司,/,大华建设项目管理有限公司
1,长沙梅溪湖098地块项目二标段施工总承包,29065.441781999998,中铁城建集团第一工程有限公司,长沙京信房地产开发有限公司,湖南湘江新区管委会住建环保局,大华建设项目管理有限公司
2,长沙梅溪湖098地块项目一标段施工总承包,34633.687792000004,中铁建设集团有限公司,长沙京信房地产开发有限公司,湖南湘江新区管委会住建环保局,湖南新泉工程造价咨询有限公司
3,长沙市第四医院滨水新城院区建设项目（基本医疗部分）新院区中心配电站安装工程施工项目,16815626.49,湖南省工业设备安装有限公司,长沙市第四医院,长沙市望城区建设工程招投标工作事务中心,中信国际招标有限公司
4,长沙市星沙强制隔离戒毒所整体迁建项目强电工程施工,403.843827,长沙合力电力安装工程有限公司,长沙市公共工程建设中心；,/,湖南中誉项目管理有限公司
5,看云中学建设项目施工,11920.744177,湖南建工集团有限公司,梅溪湖投资（长沙）有限公司,/,湖南创迪工程管理咨询有限公司
6,长沙县高桥镇整镇推进分散式污水处理建设项目,769.435989,/,长沙县高桥镇人民政府,0731-84023024,湖南昊坤工程咨询有限公司
7,惠科地块110KV丛江、丛镇线（P5-P16）杆迁工程土建配套项目,440.42258799999996,湖南鸿齐电力建设有限公司,浏阳经开区恒康基础设施管理有限公司,/,湖南建科工程项目管理有限公司
8,/,1586.823878,湖南天茂建设集团有限公司,长沙市雨花区公共工程建设中心,/,湖南锦升项目管理咨询有限公司
9,/,580.544761,湖南天禹建设有限公司,长沙雨花经开开发建设有限公司,/,湖南锦升项目管理咨询有限公司
10,浏阳市大瑶镇育才片区棚户区改造配套基础设施（三期）建设项目,3480260.36(元),京兴美建设工程有限公司,浏阳市大瑶镇人民政府,/,长沙湘博建设咨询有限公司
11,浏阳市中医医院危急重症大楼项目通道工程设计,/,中榕规划设计有限公司,浏阳市公共工程建设中心,/,湖南三湘工程管理有限公司
12,建工？象山国际二期一标段（B1#、B2#、B6#栋）施工总承包工程,22968.781946,湖南省第六工程有限公司,湖南建工置业投资有限公司,/,湖南信元工程项目管理有限公司
13,长沙林骏汽车内饰系统有限公司汽车内饰生产项目新建厂房项目,4049.957872,湖南北山建设集团股份有限公司,长沙林骏汽车内饰系统有限公司,/,/
14,/,2848.626522,湖南省绿林市政景观工程有限公司,长沙市天心区坡子街街道办事处,/,湖南同旺项目管理有限公司
15,浏阳市集里街道禧和社区花炮老旧小区改造项目,1110.391794,湖南省永安建筑股份有限公司,浏阳市集里街道办事处,/,湖南新星项目管理有限公司
16,浏阳市洞阳区域性中心敬老院建设项目二期工程,4862468.10 (元),湖南警安工程有限公司,浏阳市洞阳镇人民政府,/,长沙湘博建设咨询有限公司
17,梦想·麓隐天境项目规划及建筑方案设计,312.0,上海天华建筑设计有限公司,长沙创梦置业有限公司,/,湖南创迪工程管理咨询有限公司
18,金海路雨水分流箱涵工程设计,/,中国华西工程设计建设有限公司,/,/,湖南同旺项目管理有限公司
19,金融大厦项目东区裙楼及地下室排油烟安装工程,4197490.66,湖南立德建设工程有限公司,长沙恒诚业房地产开发有限公司,/,湖南中技项目管理有限公司
20,中塘片区安置房项目场地平整施工,1367.9092460000002,湖南乔口建设有限公司,长沙梦科置业有限公司,/,湖南新泉工程造价咨询有限公司
21,万家丽路220kV电力隧道工程消防工程施工,285.846409,湖南得大建设集团有限公司,长沙市公共工程建设中心,长沙市建设工程招标投标中心,湖南国联招标有限公司
22,大王山旅游基础设施项目质量检测,400.19820699999997,湖南中大检测技术集团有限公司,湖南湘江新区投资集团有限公司,湖南湘江新区管委会住建环保局,湖南国联招标有限公司
23, 洋湖片区洋湖安置保障房项目设计-施工总承包,440539575.33, 中国建筑第五工程局有限公司（联合体牵头人）/中国建筑西南设计研究院有限公司,/,/,湖南中技项目管理有限公司
24,高原路（旺旺西路-喻家坡路）道路工程,5622.832122,湖南乔口建设有限公司,长沙市望城区重点建设项目事务中心,/,湖南省工程建设监理有限公司
